"Id","HomePoints","AwayPoints"
"401020673","42","55"
"401020674","48","10"
"401020675","38","32"
"401020676","66","3"
"401020677","54","14"
"401020678","41","7"
"401020679","24","16"
"401020680","68","0"
"401020681","42","35"
"401020682","35","28"
"401020683","23","20"
"401020684","17","5"
"401020685","63","44"
"401020686","15","34"
"401020687","52","24"
"401020688","23","26"
"401020689","49","27"
"401020750","39","40"
"401020751","52","36"
"401020752","24","34"
"401020753","27","24"
"401020754","16","24"
"401020755","26","27"
"401020756","24","6"
"401020757","23","24"
"401020758","24","21"
"401020759","28","26"
"401020760","35","42"
"401020761","23","24"
"401020762","49","14"
"401020763","17","31"
"401020764","20","42"
"401020765","10","35"
"401020766","52","14"
"401020767","24","51"
"401020768","17","10"
"401020769","28","35"
"401020770","51","42"
"401020771","45","13"
"401020772","26","36"
"401020773","14","59"
"401020774","17","7"
"401020775","48","14"
"401020776","30","28"
"401020777","38","15"
"401020778","27","7"
"401020779","13","24"
"401020780","42","41"
"401020781","52","17"
"401020782","7","13"
"401020783","34","56"
"401020784","6","21"
"401020785","42","21"
"401020786","28","21"
"401020787","49","28"
"401020788","14","44"
"401020789","51","13"
"401020790","20","28"
"401020810","31","6"
"401020811","23","38"
"401020812","17","41"
"401021651","24","20"
"401021652","48","21"
"401021653","37","6"
"401021654","49","17"
"401021655","34","31"
"401021656","20","56"
"401021657","36","20"
"401021658","59","7"
"401021659","21","58"
"401021660","41","31"
"401021661","72","7"
"401021662","27","20"
"401021663","28","30"
"401021664","27","35"
"401021665","52","7"
"401021666","28","21"
"401021667","45","21"
"401021668","46","14"
"401021669","37","20"
"401021670","48","13"
"401021671","27","42"
"401021672","9","35"
"401021673","13","15"
"401021674","20","45"
"401021675","45","7"
"401021676","51","35"
"401021677","27","17"
"401021678","20","14"
"401021679","17","38"
"401021680","34","14"
"401021681","47","43"
"401021682","34","37"
"401021683","7","23"
"401021684","38","14"
"401021685","44","25"
"401021686","30","40"
"401021687","26","16"
"401021688","16","44"
"401021689","21","35"
"401021690","36","22"
"401021691","10","38"
"401021692","45","17"
"401021693","31","17"
"401021694","17","41"
"401021695","48","38"
"401021696","12","7"
"401021697","21","10"
"401021698","7","33"
"401021699","31","28"
"401021700","14","35"
"401021701","28","31"
"401021702","7","38"
"401022510","34","43"
"401022511","38","44"
"401022512","31","10"
"401022514","38","0"
"401022515","62","30"
"401022516","79","13"
"401022517","72","19"
"401022518","28","14"
"401022519","73","12"
"401022520","17","14"
"401022521","46","17"
"401022522","42","32"
"401022523","19","35"
"401022524","42","21"
"401022525","25","28"
"401022526","14","34"
"401022527","41","44"
"401022528","13","19"
"401022529","30","42"
"401022530","14","50"
"401022531","17","13"
"401022532","3","21"
"401022533","21","17"
"401022534","27","31"
"401022535","20","18"
"401022536","59","28"
"401022537","27","3"
"401022538","56","28"
"401022539","35","41"
"401022540","16","24"
"401022541","7","38"
"401022542","22","40"
"401022543","16","13"
"401022544","38","48"
"401022545","61","19"
"401022546","21","34"
"401022547","50","20"
"401022548","28","24"
"401022549","50","37"
"401022550","23","31"
"401022551","17","56"
"401022552","24","9"
"401022553","3","48"
"401022554","42","24"
"401022555","49","10"
"401022556","24","17"
"401022557","62","24"
"401022558","24","27"
"401022559","35","27"
"401022560","14","45"
"401022561","24","29"
"401022562","12","21"
"401022563","23","14"
"401022564","35","28"
"401022565","27","19"
"401022566","33","24"
"401022567","3","31"
"401022568","30","31"
"401022569","34","29"
"401022570","31","13"
"401032054","13","52"
"401032055","31","20"
"401032056","21","23"
"401032057","45","13"
"401032058","13","37"
"401032059","27","0"
"401032060","20","38"
"401032061","32","35"
"401032062","49","18"
"401032063","37","34"
"401032064","70","14"
"401032065","42","32"
"401032066","31","14"
"401032068","10","34"
"401032069","10","7"
"401032070","56","27"
"401032071","35","3"
"401032072","38","45"
"401032073","63","14"
"401032074","34","18"
"401032075","28","26"
"401032076","15","41"
"401032077","28","0"
"401032078","45","34"
"401032079","30","3"
"401032080","31","35"
"401032081","38","33"
"401032082","52","13"
"401032083","27","22"
"401032084","32","40"
"401032085","28","23"
"401032086","21","28"
"401032087","16","44"
"401032088","24","27"
"401035250","20","31"
"401035251","13","14"
"401035252","16","13"
"401035253","24","41"
"401035254","7","6"
"401056696","29","30"
"401056697","10","42"
"401056698","39","27"
"401056699","56","41"
"401056700","16","19"
"401056701","30","19"
"401056702","45","24"
"401056703","25","27"
"401056704","10","3"
"401056705","28","35"
"401079833","23","28"
"401081953","52","17"
"401082044","27","24"
"401085385","45","9"
"401088766","58","3"
"401098253","28","3"
"401099853","13","23"
"401100159","41","20"
