"Id","Season","Week","SeasonType","StartDate","StartTimeTBD","Completed","NeutralSite","ConferenceGame","HomeId","HomeTeam","HomeClassification","HomeConference","HomePoints","HomeLineScores","AwayId","AwayTeam","AwayClassification","AwayConference","AwayPoints","AwayLineScores"
"401674538","2024","2","regular","2024-09-07T17:00:00.000Z","false","true","false","false","2654","Truman State","ii","Great Lakes","21","0,7,7,7","2224","Findlay","ii","Great Midwest Athletic","37","14,7,7,9"
"401674539","2024","5","regular","2024-09-28T18:00:00.000Z","false","true","false","false","2654","Truman State","ii","Great Lakes","31","0,3,21,7","131","Wayne State (MI)","ii","GLIAC","17","3,7,0,7"
"401674540","2024","6","regular","2024-10-05T23:00:00.000Z","false","true","false","true","389","Upper Iowa University","ii","Great Lakes","23","7,3,7,6","2654","Truman State","ii","Great Lakes","26","6,10,0,10"
"401674541","2024","8","regular","2024-10-19T18:00:00.000Z","false","true","false","true","2825","Quincy","ii","Great Lakes","21","0,7,7,7","2654","Truman State","ii","Great Lakes","28","0,21,0,7"
"401674542","2024","11","regular","2024-11-09T21:00:00.000Z","false","true","true","true","2911","William Jewell","ii","Great Lakes","0","0,0,0,0","2654","Truman State","ii","Great Lakes","34","10,14,7,3"
"401674543","2024","2","regular","2024-09-07T23:00:00.000Z","false","true","false","false","389","Upper Iowa University","ii","Great Lakes","33","6,6,14,7","3066","Concordia University St Paul","ii","Northern Sun","7","0,0,7,0"
"401674544","2024","5","regular","2024-09-28T18:00:00.000Z","false","true","false","true","2825","Quincy","ii","Great Lakes","27","0,20,0,7","389","Upper Iowa University","ii","Great Lakes","29","0,7,0,22"
"401674545","2024","7","regular","2024-10-12T18:00:00.000Z","false","true","false","true","389","Upper Iowa University","ii","Great Lakes","38","10,14,0,7,7","2911","William Jewell","ii","Great Lakes","31","0,6,11,14,0"
"401674546","2024","3","regular","2024-09-14T23:00:00.000Z","false","true","false","false","2316","Kentucky Wesleyan","ii","Great Midwest Athletic","16","3,7,3,3","2911","William Jewell","ii","Great Lakes","23","0,3,6,14"
"401674547","2024","5","regular","2024-09-28T18:00:00.000Z","false","true","true","false","2911","William Jewell","ii","Great Lakes","7","0,0,7,0","110254","Davenport","ii","GLIAC","17","3,14,0,0"
"401674548","2024","10","regular","2024-11-02T18:00:00.000Z","false","true","false","true","2825","Quincy","ii","Great Lakes","24","0,17,0,7","2911","William Jewell","ii","Great Lakes","20","3,7,7,3"
"401674549","2024","2","regular","2024-09-07T22:00:00.000Z","false","true","false","false","2222","Ferris State","ii","GLIAC","56","35,14,0,7","437","Lake Erie","ii","Great Midwest Athletic","3","3,0,0,0"
"401674550","2024","3","regular","2024-09-14T22:00:00.000Z","false","true","false","false","2222","Ferris State","ii","GLIAC","43","14,22,7,0","308","Ashland","ii","Great Midwest Athletic","3","3,0,0,0"
