possessionTime_diff,turnovers_diff,yardsPerRushAttempt_diff,rushingYards_diff,yardsPerPass_diff,netPassingYards_diff,totalYards_diff,firstDowns_diff,tacklesForLoss_diff,sacks_diff,qbHurries_diff,passesDeflected_diff,thirdDown%_diff,home_win
-1338,0.0,-4.3,-263.0,2.000000000000001,313.0,50.0,1.0,-5.0,-4.0,-1.0,-1.0,-0.2549019607843137,1
-58,2.0,-2.8,-171.0,-0.8999999999999995,259.0,88.0,5.0,-7.0,-4.0,2.0,-7.0,0.0999999999999999,0
126,-1.0,2.1000000000000005,85.0,1.8999999999999997,-37.0,48.0,-3.0,8.0,2.0,0.0,1.0,0.2051282051282051,1
82,1.0,-1.4999999999999996,0.0,0.9000000000000004,28.0,28.0,2.0,-5.0,-2.0,4.0,1.0,0.1022727272727272,0
24,0.0,-0.7000000000000002,-60.0,0.9000000000000004,127.0,67.0,10.0,-3.0,-5.0,0.0,0.0,-0.0075187969924812,1
734,-1.0,0.6000000000000001,54.0,-1.3000000000000007,-19.0,35.0,6.0,-3.0,-1.0,0.0,-1.0,-0.2428571428571428,0
350,2.0,1.4,55.0,-1.3999999999999997,-26.0,29.0,6.0,3.0,0.0,-1.0,-4.0,-0.0666666666666667,0
-1260,1.0,1.0999999999999996,-149.0,-2.0,13.0,-136.0,-11.0,4.0,-1.0,0.0,1.0,0.0392156862745097,0
-444,1.0,0.6000000000000001,4.0,1.7999999999999998,132.0,136.0,4.0,3.0,0.0,-4.0,-1.0,-0.1587301587301587,1
480,0.0,-3.8,-265.0,3.200000000000001,83.0,-182.0,-4.0,3.0,0.0,-1.0,3.0,0.0256410256410256,0
-564,-1.0,-3.2,-195.0,0.9000000000000004,175.0,-20.0,-4.0,-2.0,-2.0,-1.0,-4.0,-0.0627450980392156,0
-1442,1.0,0.7000000000000002,-120.0,2.499999999999999,40.0,-80.0,-12.0,2.0,0.0,1.0,3.0,0.1045454545454545,1
-154,-2.0,2.9000000000000004,151.0,-1.5,-257.0,-106.0,-7.0,1.0,-1.0,-1.0,2.0,0.0333333333333333,1
938,-3.0,-1.0000000000000004,-3.0,-0.5999999999999996,48.0,45.0,2.0,-5.0,-1.0,-1.0,-3.0,0.1944444444444444,0
724,1.0,-1.0999999999999996,34.0,2.1999999999999993,107.0,141.0,8.0,-3.0,0.0,0.0,0.0,0.3272727272727272,1
136,-2.0,-4.300000000000001,-204.0,-0.5999999999999996,-22.0,-226.0,-3.0,-5.0,-4.0,3.0,-3.0,-0.1437908496732026,0
-198,-1.0,0.2000000000000001,-6.0,-3.3999999999999995,-12.0,-18.0,5.0,-3.0,-2.0,0.0,-9.0,-0.1666666666666666,0
596,-1.0,1.0,90.0,0.9000000000000004,-33.0,57.0,2.0,1.0,1.0,0.0,-3.0,-0.3286713286713286,0
-898,2.0,1.5,-72.0,3.2,11.0,-61.0,-5.0,8.0,5.0,9.0,2.0,-0.0292397660818713,1
854,0.0,2.0,317.0,-4.9,-269.0,48.0,2.0,4.0,2.0,0.0,4.0,0.1349206349206349,1
-406,0.0,-0.2999999999999998,-19.0,2.5,18.0,-1.0,-2.0,4.0,2.0,0.0,2.0,0.2958333333333333,1
682,-2.0,0.5,59.0,3.3,131.0,190.0,13.0,-4.0,-2.0,0.0,0.0,-0.0666666666666666,1
-818,-1.0,0.1000000000000005,-92.0,2.0999999999999996,94.0,2.0,-12.0,3.0,2.0,0.0,0.0,-0.0666666666666666,1
198,0.0,-2.8000000000000003,-119.0,2.0999999999999996,40.0,-79.0,-5.0,-7.0,-5.0,0.0,3.0,0.0,0
-122,4.0,-0.4000000000000003,18.0,2.3000000000000007,91.0,109.0,9.0,1.0,0.0,3.0,-1.0,0.1294117647058823,0
278,-1.0,1.5,98.0,0.7999999999999998,-13.0,85.0,4.0,3.0,5.0,3.0,5.0,0.0761904761904761,1
-286,-4.0,1.5999999999999996,71.0,-1.4000000000000004,-163.0,-92.0,-8.0,3.0,3.0,2.0,6.0,-0.0404411764705882,1
328,1.0,0.5999999999999996,117.0,-2.7,-92.0,25.0,2.0,2.0,4.0,2.0,-3.0,0.0166666666666666,1
-232,-3.0,-0.6000000000000001,-57.0,1.5999999999999996,68.0,11.0,-6.0,4.0,6.0,0.0,2.0,-0.0588235294117646,1
-164,-1.0,3.6000000000000005,168.0,-3.2,-425.0,-257.0,-12.0,-2.0,3.0,0.0,0.0,-0.1988636363636363,1
614,0.0,-1.9000000000000004,-38.0,1.2999999999999998,142.0,104.0,5.0,-3.0,-1.0,1.0,0.0,0.1133603238866396,0
384,1.0,2.3,157.0,0.7000000000000002,-39.0,118.0,0.0,5.0,1.0,3.0,5.0,0.3508771929824561,1
276,3.0,1.1000000000000003,94.0,3.3999999999999995,83.0,177.0,8.0,5.0,3.0,1.0,3.0,0.1470588235294117,1
208,-3.0,2.0000000000000004,69.0,0.2999999999999998,-50.0,19.0,-3.0,2.0,4.0,0.0,1.0,0.2285714285714285,1
-80,-1.0,2.3,80.0,-3.1999999999999993,-248.0,-168.0,-3.0,2.0,4.0,0.0,5.0,-0.0278637770897832,1
50,-1.0,-0.3999999999999994,-45.0,-8.1,-11.0,-56.0,4.0,3.0,3.0,-2.0,-6.0,0.1709401709401709,0
336,-2.0,0.2000000000000001,20.0,3.3,114.0,134.0,0.0,2.0,2.0,0.0,1.0,-0.0329670329670329,1
-990,-2.0,1.7000000000000002,63.0,-0.7999999999999998,-271.0,-208.0,-12.0,-8.0,-2.0,1.0,8.0,0.0666666666666666,1
568,-3.0,1.1000000000000003,181.0,7.999999999999999,-283.0,-102.0,-8.0,0.0,2.0,1.0,7.0,-0.0374999999999999,1
278,1.0,0.8999999999999995,161.0,0.5999999999999996,-11.0,150.0,12.0,0.0,-4.0,1.0,1.0,0.2180451127819548,1
-344,5.0,3.4,181.0,-2.3000000000000007,-21.0,160.0,11.0,6.0,1.0,1.0,0.0,0.0,1
526,-2.0,-0.2000000000000001,-13.0,2.6000000000000005,95.0,82.0,0.0,-8.0,-3.0,0.0,-1.0,-0.1736111111111111,1
